SN_CODE,SN_CITY,SN_PROV,SN_LEVEL,SN_LNG,SN_NAME,SN_LAT,ST_PRICEURL,SN_THEME
1000000,呼和浩特,内蒙古,非A级,111.24024275,黄河麦田游乐园,40.22115228,70,
1000001,包头,内蒙古,非A级,109.8387481,九里温泉度假村,40.55959218,64,
1000002,赤峰,内蒙古,非A级,117.36552827,蛤蟆坝景区,42.67687016,27,
1000003,乌兰察布市,内蒙古,4A,112.54741449,黄花沟草原旅游区 景区,41.13187319,225,公园
1000004,呼伦贝尔,内蒙古,3A,121.48184122,敖鲁古雅使鹿部落旅游景区 景区,50.78513495,75,
1000005,赤峰,内蒙古,4A,116.71908185,达里湖—南岸景区 景区,43.24455401,100,
1000006,呼伦贝尔,内蒙古,非A级,117.62815984,呼伦湖,49.33717759,40,
1000007,呼伦贝尔,内蒙古,非A级,122.64349548,金龙山温泉,48.06324297,48,
1000008,包头,内蒙古,4A,110.32102982,内蒙古五当召 景区,40.7977227,55,宗教寺庙
1000009,呼伦贝尔,内蒙古,4A,120.65276361,白桦林 景区,51.66081822,53,园林
1000010,赤峰,内蒙古,3A,118.65930673,紫蒙湖旅游风景区 景区,41.39665952,58,
1000011,赤峰,内蒙古,4A,118.3750441,道须沟旅游风景区 景区,41.46075571,75,
1000012,赤峰,内蒙古,4A,117.54170445,克什克腾石阵 景区,43.93644784,135,草原
1000013,呼和浩特,内蒙古,非A级,111.23823012,黄河梦幻水世界,40.22216762,45,
1000014,通辽,内蒙古,非A级,122.23787206,联众海洋之星水上乐园,43.38478256,85,游乐场
1000015,阿拉善盟,内蒙古,4A,105.88100741,贺兰山福因寺 景区,38.98668608,56,宗教寺庙
1000016,呼伦贝尔,内蒙古,非A级,117.4446443,满洲里蒙根花温泉水世界,49.61931427,78,
1000017,乌兰察布市,内蒙古,4A,113.79722561,苏木山 景区,40.58778853,45,
1000018,鄂尔多斯,内蒙古,非A级,109.84108731,伊景园城市沙山景区,39.58853048,68,
1000019,呼伦贝尔,内蒙古,非A级,120.18435878,中科丽丽娅俄罗斯文化旅游区,50.21562994,50,
1000020,呼伦贝尔,内蒙古,5A,117.40538707,满洲里口岸套娃景区 景区,49.62083915,140,
1000021,鄂尔多斯,内蒙古,,110.00974400,鄂尔多斯市图书馆,39.81696500,,
1000022,鄂尔多斯,内蒙古,4A,109.72034175,东联动漫城 景区,39.8543987,55,
1000023,赤峰,内蒙古,4A,117.83847463,克旗青山国家地质公园 景区,43.24386187,120,
1000024,鄂尔多斯,内蒙古,非A级,109.78163018,九城宫旅游度假区,39.79665651,2,滑雪
1000025,呼伦贝尔,内蒙古,4A,120.16441031,额尔古纳湿地景区 景区,50.25186311,60,草原
1000026,呼和浩特,内蒙古,非A级,110.99780436,哈素海码头,40.62618193,85,
1000027,包头,内蒙古,非A级,109.86615315,包头海洋世界,40.6644773,79,
1000028,赤峰,内蒙古,非A级,117.2393334,白音敖包沙地云杉,43.53657521,45,草原
1000029,呼伦贝尔,内蒙古,非A级,117.67272464,贝尔湖,47.91671849,28,
1000030,乌兰察布市,内蒙古,,111.78802612,乌兰察布岩画,41.69230549,,
1000031,鄂尔多斯,内蒙古,非A级,107.52396174,布龙湖温泉度假区,38.93490777,138,温泉
1000032,包头,内蒙古,4A,110.71466319,美岱召 景区,40.61245028,25,宗教寺庙
1000033,呼伦贝尔,内蒙古,5A,117.36107739,满洲里国门景区 景区,49.63532521,78,历史遗迹
1000034,阿拉善盟,内蒙古,4A,105.67005388,南寺风景区 景区,38.63093739,70,宗教寺庙
1000035,乌兰察布市,内蒙古,非A级,113.15615442,永亮温泉水世界,41.00060629,95,
1000036,赤峰,内蒙古,非A级,117.54432587,龙口旅游休闲度假区,43.11435966,75,
1000037,阿拉善盟,内蒙古,非A级,104.89213687,腾格里天鹅湖景区,38.42393308,35,河流湖泊
1000038,赤峰,内蒙古,3A,119.99507911,敖汉温泉城 景区,41.93745946,35,温泉
1000039,锡林郭勒盟,内蒙古,非A级,112.6608992,赛汉塔拉温泉,42.75847439,98,
1000040,阿拉善盟,内蒙古,4A,104.93875781,通湖草原 景区,37.60308576,54,草原
1000041,呼伦贝尔,内蒙古,4A,123.44584976,鄂伦春布苏里景区 景区,50.56966615,75,
1000042,赤峰,内蒙古,4A,119.05103323,玉龙沙湖景区 景区,43.03909729,75,河流湖泊
1000043,鄂尔多斯,内蒙古,4A,109.89717374,鄂尔多斯野生动物园 景区,39.84498435,40,
