	时间	踩	赞	评分	所看话数	内容
绪山まひろ	1530982477	9292	0	10		我有个想法，动物体内的细胞会不会是兽耳呢d(?д??)
余哇踏诺西	1538299618	137	0	10	13	看番还能涨知识，对生物有点帮助，好评
WNE_02	1531391952	121	0	10	13	《工作细胞》让我深刻意识到世上还有那么多那么多细胞爱着我并为我努力着，谢谢! (*≧▽≦)
Ga_Chou	1540975123	2	0	2	1	。。。。。
Till-Dawn	1538377404	31	0	10	12	从暑假追到现在，昨天完结撒花。来源于现实，向我们展示了细胞的努力奋斗。在你孤身一人时，仍有37兆细胞为你而战。人物的刻画也十分生动。
冥小夕	1540983278	0	0	10	10	超级好看啊！我永远爱白血球！！！
沉静的TA	1540947832	0	0	10		好
比利_黄_仁山大帝	1540943289	0	0	8	13	自从看了这部番我的学考全部过关
哔哩哗啦哔哔哔	1531588142	0	0	10	13	不多说，，，，俩字，，，吹爆！
板烧鸡腿堡啊	1540914685	0	0	10	2	看完之后真的是满满的感动，像弹幕中我能活到现在真是不容易的调侃也好，热评中的感恩感谢也好。总之啊，我看到了，每个细胞，即使生命短暂，但也是在竭尽全力地让自己成为有用的一份子呢。感谢你们组成了现在的我。
舞法天女麦迪文	1540901362	0	0	10	13	看标题的时候，感觉和生物学的内容没什么关系。可是失血性休克那集，血液跑光了了还要升血压，不就是刚学的血压调节嘛，还有中暑那集，也复习了体温调节2333有次做题的时候，题干是培养金黄色葡萄球菌！~
えんの番犬	1540863343	0	0	10	13	新颖的形式介绍身边忽略的事物，贴切真实易接受
乐宝1998	1540795844	1	0	10	13	这个番可以说真的很治愈了，几十兆亿的小伙伴陪伴我们一起成长，一起守护一起成长，为了那些为你付出一切的生命，又怎么可以轻言放弃?
爱吃栗子的年糕君QAQ	1540842244	0	0	10	9	又能科普涨知识，有趣的番
江湖人称二哥哥	1540830130	0	0	10	13	超好看
丢了一撇的我	1540824877	0	0	10	13	没的办法，必须五星支持一下。
dream天火	1540821819	0	0	10	13	＞(￣▽￣ = ￣︿￣)<
Tiny_qian	1540819894	0	0	8	1	很有意思的小番 每天在吃饭的时候看
老板3x	1540818767	0	0	10	13	可以可以
你也是水果	1540774261	0	0	6	10	很有新意，但是过于温情了，让人看着想睡觉。不适合我
lhr的鱼丸	1540734447	1	0	10	13	真正的正能量番
elderdriver	1540710305	1	0	10	12	真的是好棒啊。一部搞笑番却看得我心里暖暖的
