theme,themeurl,author,journal,jrurl,year,cites,downloads
射血分数保留的心力衰竭的研究进展,g.wanfangdata.com.cn//link.do?url=DE4A6470D66923BEC416778F5C81F0711B88F97367FDDFE3CCCC08157997495AB499823E847E2A4225C0D06758B358900BA7E502638D57BF050C3E7D86B2A0772A2F977384BBE54FD2BCE683E8FAF454,任小田,《心血管病学进展》,g.wanfangdata.com.cn/perio/detail.do?perio_id=xxgbxjz,2018,0,0
考古学与《希伯来圣经》的关系,g.wanfangdata.com.cn//link.do?url=DE4A6470D66923BEC416778F5C81F0711B88F97367FDDFE3CCCC08157997495AB499823E847E2A4225C0D06758B358900BA7E502638D57BF02533FF11BCF97348FEC2739709BBFBBC7DBB55ED3B6BC73,长谷川修一,《圣经文学研究》,g.wanfangdata.com.cn/perio/detail.do?perio_id=sjwxyj,2018,0,24
基于问卷调查的研究生基因分子生物学实验课教学效果初探,g.wanfangdata.com.cn//link.do?url=DE4A6470D66923BEC416778F5C81F0711B88F97367FDDFE3CCCC08157997495AB499823E847E2A4225C0D06758B358900BA7E502638D57BF3EA724ADB94F4946102A9C6F676464BD83C6A826CD5CE37A,付俊,《基础医学与临床》,g.wanfangdata.com.cn/perio/detail.do?perio_id=jcyxylc,2018,0,4
基于病案首页数据的儿童肝移植手术资料分析,g.wanfangdata.com.cn//link.do?url=DE4A6470D66923BEC416778F5C81F0711B88F97367FDDFE3CCCC08157997495AB499823E847E2A4225C0D06758B358900BA7E502638D57BF5FA860998C2D553AB2FB050C588B1B9EBC20B3ACD6F63BD5,郝冬芳,《中国医刊》,g.wanfangdata.com.cn/perio/detail.do?perio_id=zgyk,2018,0,1
《马可福音》1∶1的圣名之争,g.wanfangdata.com.cn//link.do?url=DE4A6470D66923BEC416778F5C81F0711B88F97367FDDFE3CCCC08157997495AB499823E847E2A4225C0D06758B358900BA7E502638D57BF02533FF11BCF97348FEC2739709BBFBB93CE8EFFB50FF69D,史继龙,《圣经文学研究》,g.wanfangdata.com.cn/perio/detail.do?perio_id=sjwxyj,2018,0,1
思想政治教育现代转型对社会治理现代化的价值探析,g.wanfangdata.com.cn//link.do?url=DE4A6470D66923BEC416778F5C81F0711B88F97367FDDFE3CCCC08157997495AB499823E847E2A4225C0D06758B358900BA7E502638D57BF4723DF4E1D949B2F919066B2DE94AEED969F39951530317170F95C29CA41A423,张瑞敏,《北京交通大学学报（社会科学版）》,g.wanfangdata.com.cn/perio/detail.do?perio_id=bfjtdxxb-shkx,2018,0,3
现象学如何为社会科学奠基——以舒茨的现象学社会学为例,g.wanfangdata.com.cn//link.do?url=DE4A6470D66923BEC416778F5C81F0711B88F97367FDDFE3CCCC08157997495AB499823E847E2A4225C0D06758B358900BA7E502638D57BF982533A66C9BE0403DD1A8F861FEEBEA9E147FC8822E631D,张浩军,《中国高校社会科学》,g.wanfangdata.com.cn/perio/detail.do?perio_id=zggxshkx,2018,0,0
圣经中以色列的社会性别与身份,g.wanfangdata.com.cn//link.do?url=DE4A6470D66923BEC416778F5C81F0711B88F97367FDDFE3CCCC08157997495AB499823E847E2A4225C0D06758B358900BA7E502638D57BF02533FF11BCF97348FEC2739709BBFBBC29170BD29260F91,罗纳德·希姆金斯,《圣经文学研究》,g.wanfangdata.com.cn/perio/detail.do?perio_id=sjwxyj,2018,0,19
三维虚拟牙科患者的建立及其在美学修复中的应用,g.wanfangdata.com.cn//link.do?url=DE4A6470D66923BEC416778F5C81F0711B88F97367FDDFE3CCCC08157997495AB499823E847E2A4225C0D06758B358900BA7E502638D57BF6DB1DE21660947D2E94D3A701CF8DDF6B3EA13B34EFDD628,杜雪,《国际口腔医学杂志》,g.wanfangdata.com.cn/perio/detail.do?perio_id=gwyx-kqyx,2018,0,4
人口腔鳞状细胞癌Tca8113细胞过表达WWOX基因的基因表达谱分析及WWOX基因的抑癌作用机制,g.wanfangdata.com.cn//link.do?url=DE4A6470D66923BEC416778F5C81F0711B88F97367FDDFE3CCCC08157997495AB499823E847E2A4225C0D06758B358900BA7E502638D57BF15FDF50E88214AC05125B699094AFF02CBBB801A10354313,杨巍,《吉林大学学报（医学版）》,g.wanfangdata.com.cn/perio/detail.do?perio_id=bqeykdxxb,2018,0,0
志贺菌中成簇的规律间隔短回文重复序列的特点及其关联性分析,g.wanfangdata.com.cn//link.do?url=DE4A6470D66923BEC416778F5C81F0711B88F97367FDDFE3CCCC08157997495AB499823E847E2A4225C0D06758B358900BA7E502638D57BF15FDF50E88214AC05125B699094AFF026500693064F2284C,王颖芳,《吉林大学学报（医学版）》,g.wanfangdata.com.cn/perio/detail.do?perio_id=bqeykdxxb,2018,0,2
