datetime,startprice,maxprice,minprice,endprice,udamount,udrate,tradenum,tradeprice,rate,turnrate
2018-09-28,7.12,7.32,7.11,7.24,0.11,1.54,"1,334,490","96,449",2.95,1.39
2018-09-27,7.11,7.15,7.04,7.13,0.00,0.00,"736,592","52,198",1.54,0.77
2018-09-26,7.09,7.24,7.07,7.13,0.03,0.42,"1,491,999","106,911",2.39,1.56
2018-09-25,7.10,7.16,7.01,7.10,-0.11,-1.53,"1,244,613","88,194",2.08,1.30
2018-09-21,6.88,7.23,6.80,7.21,0.36,5.26,"2,081,221","146,890",6.28,2.17
2018-09-20,6.80,6.95,6.80,6.85,0.07,1.03,"946,631","65,038",2.21,0.99
2018-09-19,6.67,6.83,6.67,6.78,0.09,1.35,"930,159","62,970",2.39,0.97
2018-09-18,6.60,6.71,6.59,6.69,0.08,1.21,"509,740","33,901",1.82,0.53
2018-09-17,6.63,6.68,6.61,6.61,-0.04,-0.60,"447,951","29,771",1.05,0.47
2018-09-14,6.63,6.70,6.62,6.65,0.01,0.15,"466,159","31,064",1.20,0.49
2018-09-13,6.59,6.64,6.55,6.64,0.10,1.53,"550,786","36,353",1.38,0.57
2018-09-12,6.55,6.58,6.50,6.54,-0.04,-0.61,"492,359","32,167",1.22,0.51
2018-09-11,6.63,6.69,6.54,6.58,-0.04,-0.60,"492,734","32,554",2.27,0.51
2018-09-10,6.61,6.70,6.58,6.62,-0.04,-0.60,"641,740","42,585",1.80,0.67
2018-09-07,6.68,6.72,6.57,6.66,-0.01,-0.15,"1,031,327","68,475",2.25,1.08
2018-09-06,6.68,6.74,6.66,6.67,-0.04,-0.60,"495,825","33,167",1.19,0.52
2018-09-05,6.89,6.93,6.69,6.71,-0.22,-3.17,"904,700","61,465",3.46,0.94
2018-09-04,6.88,6.96,6.79,6.93,0.05,0.73,"631,176","43,396",2.47,0.66
2018-09-03,6.87,6.96,6.83,6.88,0.00,0.00,"690,021","47,497",1.89,0.72
2018-08-31,6.83,6.96,6.77,6.88,0.05,0.73,"728,204","50,119",2.78,0.76
2018-08-30,6.90,6.95,6.83,6.83,-0.07,-1.01,"414,934","28,512",1.74,0.43
2018-08-29,6.92,6.94,6.86,6.90,-0.05,-0.72,"403,195","27,820",1.15,0.42
2018-08-28,6.92,7.02,6.90,6.95,0.04,0.58,"873,951","60,894",1.74,0.91
2018-08-27,6.83,6.91,6.78,6.91,0.11,1.62,"1,013,238","69,497",1.91,1.06
2018-08-24,6.66,6.91,6.64,6.80,0.11,1.64,"931,008","63,018",4.04,0.97
2018-08-23,6.70,6.75,6.64,6.69,-0.01,-0.15,"384,158","25,707",1.64,0.40
2018-08-22,6.71,6.72,6.64,6.70,-0.02,-0.30,"358,517","23,980",1.19,0.37
2018-08-21,6.65,6.76,6.63,6.72,0.06,0.90,"811,674","54,497",1.95,0.85
2018-08-20,6.55,6.68,6.52,6.66,0.14,2.15,"846,438","56,012",2.45,0.88
2018-08-17,6.65,6.69,6.50,6.52,-0.08,-1.21,"610,187","40,097",2.88,0.64
2018-08-16,6.49,6.61,6.46,6.60,0.03,0.46,"851,057","55,805",2.28,0.89
2018-08-15,6.65,6.67,6.55,6.57,-0.11,-1.65,"733,773","48,505",1.80,0.76
2018-08-14,6.65,6.69,6.56,6.68,0.01,0.15,"689,260","45,723",1.95,0.72
2018-08-13,6.81,6.81,6.56,6.67,-0.18,-2.63,"1,498,197","99,800",3.65,1.56
2018-08-10,6.91,6.93,6.83,6.85,-0.08,-1.15,"680,742","46,724",1.44,0.71
2018-08-09,6.81,6.95,6.81,6.93,0.08,1.17,"864,125","59,665",2.04,0.90
2018-08-08,6.96,6.97,6.82,6.85,-0.13,-1.86,"861,488","59,320",2.15,0.90
2018-08-07,6.90,6.99,6.81,6.98,0.09,1.31,"1,275,063","88,013",2.61,1.33
2018-08-06,6.82,6.98,6.80,6.89,0.06,0.88,"1,036,200","71,552",2.64,1.08
2018-08-03,6.74,6.91,6.73,6.83,0.09,1.34,"1,014,787","69,375",2.67,1.06
2018-08-02,6.80,6.86,6.69,6.74,-0.14,-2.03,"1,147,426","77,632",2.47,1.20
2018-08-01,7.02,7.10,6.87,6.88,-0.13,-1.85,"1,209,442","84,692",3.28,1.26
2018-07-31,6.94,7.06,6.86,7.01,0.06,0.86,"990,768","69,061",2.88,1.03
2018-07-30,6.85,7.01,6.81,6.95,0.10,1.46,"1,125,745","77,853",2.92,1.17
2018-07-27,6.85,6.94,6.82,6.85,-0.06,-0.87,"713,806","49,069",1.74,0.74
2018-07-26,6.92,7.01,6.81,6.91,-0.01,-0.14,"1,025,919","70,761",2.89,1.07
