rooms,area,floors,location,nearbySubway,price
9,152.0,28,雨花,0,13684
8,157.0,11,雨花,0,11210
9,91.0,7,雨花,0,8571
5,90.0,30,雨花,0,10200
7,108.0,32,星沙,0,9074
3,40.0,20,星沙,0,6000
5,94.0,33,星沙,0,7000
6,91.0,22,长沙周边,0,6791
7,126.0,15,岳麓,0,10793
7,122.7,32,岳麓,1,13528
8,138.0,32,岳麓,0,10144
6,88.0,9,天心,0,6590
8,142.0,34,岳麓,0,13028
6,90.5,33,岳麓,1,6464
7,141.0,33,开福,1,12127
11,302.0,56,天心,1,18807
8,110.0,33,星沙,0,9818
3,30.0,31,雨花,0,7000
7,114.0,15,天心,1,10877
6,90.0,33,星沙,0,8333
10,195.0,21,雨花,0,8205
6,92,30,岳麓,0,14130
11,201.0,3,天心,1,13930
8,152.0,11,芙蓉,0,11105
8,146.0,48,开福,1,18150
7,142.0,11,天心,1,10140
10,200.0,3,长沙周边,0,6750
6,89.0,32,雨花,0,12674
7,134.0,28,雨花,0,10261
7,140.0,30,天心,1,13428
5,88,6,星沙,0,4886
14,340.0,3,开福,0,12882
7,125.0,15,天心,1,11840
7,176.0,8,雨花,0,6988
8,200.0,5,望城,0,7000
6,89.0,32,岳麓,0,11011
5,80.0,30,岳麓,0,12325
7,89.0,31,天心,1,11011
7,97,26,岳麓,0,11134
7,137.0,12,天心,1,10218
5,80.0,33,星沙,0,7975
3,41.0,26,岳麓,0,9512
6,105.0,6,雨花,1,7142
6,166.0,22,天心,1,10000
7,123.0,18,雨花,0,10162
7,130.0,18,雨花,0,9615
5,93.0,19,雨花,0,11397
8,156.0,32,星沙,0,7307
7,117.0,28,岳麓,1,10940
6,95.0,33,开福,1,10421
6,93.0,30,雨花,0,10215
6,92.0,28,开福,1,10869
5,99.0,18,雨花,0,8888
11,308.0,10,雨花,0,8603
5,86.0,32,雨花,0,12790
7,118.0,19,长沙周边,0,7525
7,126.0,18,雨花,1,10317
7,127.0,6,长沙周边,0,5118
6,98.4,33,星沙,0,9024
6,101.0,6,星沙,0,4405
7,139.0,33,开福,1,11438
6,83.0,33,雨花,0,12289
10,447.0,3,岳麓,0,12706
4,71.0,28,开福,1,12394
3,32.0,30,开福,0,10625
7,128.0,31,天心,1,10937
7,135.47,33,开福,1,12548
3,38,29,望城,0,6578
11,260.0,44,开福,1,17307
4,83.0,7,雨花,0,8433
5,77.0,18,雨花,1,10649
7,136,33,星沙,0,8455
7,130.0,15,天心,1,9676
6,92.0,7,雨花,0,8586
5,95.0,7,雨花,0,7978
7,117.0,28,长沙周边,0,5897
11,225.0,6,岳麓,0,23022
7,127.0,18,雨花,0,10000
7,138.0,18,雨花,1,11144
3,39.0,15,开福,1,7948
7,124.0,33,芙蓉,0,11290
10,218,3,岳麓,0,9541
7,106.0,33,岳麓,1,14905
5,75.0,25,芙蓉,1,11000
7,122.0,14,星沙,0,7540
8,145,16,天心,0,8675
4,65.0,7,天心,1,9846
6,95.0,11,岳麓,0,12105
6,84.0,33,星沙,0,8928
7,126.0,25,长沙周边,0,7619
7,127.0,6,芙蓉,0,7480
6,89.0,19,天心,1,12359
5,89.0,6,星沙,0,4606
7,119.0,17,天心,0,7042
7,90.0,33,雨花,0,10111
5,83.0,14,雨花,0,9397
5,84.0,17,岳麓,0,9380
7,132.0,18,岳麓,0,10984
5,88.0,17,岳麓,1,9659
6,95.0,33,岳麓,0,12421
15,335.0,4,岳麓,0,7611
6,91.0,19,天心,0,8109
7,125.0,18,芙蓉,0,8800
7,125.0,6,雨花,1,10000
7,143.0,33,岳麓,1,10629
7,117.0,7,雨花,0,8803
8,111.0,33,雨花,0,14234
7,131,18,天心,1,13740
8,173.0,31,开福,0,9248
8,167.0,17,雨花,1,10179
5,93.0,11,开福,0,11290
7,128.0,34,岳麓,0,8203
6,94.0,6,雨花,0,9042
8,152.0,11,芙蓉,0,10921
6,90.0,8,开福,0,9222
7,129.0,30,雨花,1,11317
5,68.0,7,雨花,1,8647
8,167.0,28,开福,0,8862
7,133.0,18,雨花,1,12781
5,87.2,33,芙蓉,0,11467
9,180.0,8,芙蓉,1,7888
6,88.0,6,星沙,0,8636
6,89.0,30,岳麓,0,13483
7,134.0,26,雨花,1,11253
10,447.0,3,岳麓,0,15212
7,130.55,6,星沙,0,10570
7,110.0,6,星沙,0,8363
5,82.0,6,雨花,0,9756
12,317.0,4,雨花,1,12618
7,100.0,31,雨花,0,11800
7,121.0,16,雨花,1,9752
5,86.0,6,天心,0,4976
6,87.86,28,星沙,0,8285
7,210.0,1,雨花,1,18095
5,79.0,9,天心,0,6455
7,97.0,26,岳麓,0,11134
3,48.0,15,开福,1,8750
7,139.0,33,雨花,1,12589
7,133.91,26,雨花,1,11052
6,88,33,雨花,1,14545
7,120.0,18,岳麓,0,10833
7,120.0,33,雨花,0,12500
7,91,11,岳麓,0,12637
3,41.43,15,岳麓,1,12309
6,91.0,7,雨花,0,6791
5,71.0,7,雨花,0,7464
6,90.0,33,星沙,0,8200
6,90.0,30,雨花,0,11666
8,133.0,35,岳麓,1,11954
6,89.0,11,星沙,0,8876
8,142.0,33,开福,1,12323
7,117.0,28,开福,1,12393
8,210.0,33,开福,1,18952
7,130.0,31,雨花,1,13461
5,79.0,9,天心,0,6329
5,92.0,18,星沙,0,7173
3,38.0,20,开福,1,10526
7,91.0,16,雨花,0,10439
13,535.0,1,长沙周边,0,7476
3,51.0,26,望城,0,7450
5,90.0,30,雨花,1,11111
3,64.0,29,雨花,1,10468
9,201.0,12,雨花,1,14179
6,89.42,18,天心,1,11742
8,133.0,11,开福,1,10075
6,89,31,星沙,0,8292
7,119.0,33,星沙,0,9915
8,154.0,4,雨花,0,11038
3,51.0,8,雨花,1,13725
5,95.0,6,雨花,0,7052
3,46.45,33,开福,0,11840
10,98.58,6,星沙,0,5680
5,60.0,28,星沙,0,9000
8,134.0,18,天心,0,6567
6,89.0,33,开福,1,10876
7,125.0,17,长沙周边,0,6384
9,200.0,4,望城,0,8350
5,84.0,5,芙蓉,0,6666
7,123.0,27,岳麓,0,9430
3,54.38,32,芙蓉,0,8642
10,260.0,39,开福,1,12307
3,54.0,28,雨花,0,8333
7,153.0,28,雨花,0,7843
7,136.0,33,岳麓,0,13970
12,300.0,3,望城,0,13933
9,256.0,4,岳麓,0,10937
8,165.0,33,长沙周边,0,5878
5,88.0,26,雨花,0,11363
6,83,18,雨花,0,12289
8,144.0,11,雨花,0,9583
7,90.0,29,雨花,1,12222
7,127,16,天心,0,7165
6,87.0,6,天心,0,5402
7,125.0,9,开福,0,10400
6,105.0,7,雨花,1,9809
6,95.0,25,岳麓,1,9368
7,132.0,18,岳麓,1,7727
6,90.0,28,天心,0,10111
5,87.0,18,开福,1,12643
7,123.0,7,芙蓉,1,8780
6,91.0,6,雨花,0,7472
6,113.0,28,天心,0,10442
7,125.0,31,星沙,0,8560
7,99.0,17,星沙,0,9373
8,140.0,6,开福,1,11428
5,67.0,7,雨花,1,10000
5,102.0,18,岳麓,1,8039
5,89.0,33,开福,1,10112
7,110.1,18,岳麓,0,8210
8,143.0,32,开福,0,13636
3,46.0,31,天心,1,11739
7,141.0,28,长沙周边,0,4822
8,201.0,11,雨花,1,14427
6,85.0,33,芙蓉,1,12705
7,105.0,6,雨花,0,8266
6,89.0,30,岳麓,0,10786
7,116.0,17,雨花,0,12827
7,134.0,15,天心,1,10149
3,32.0,34,岳麓,0,10000
5,90.0,18,岳麓,0,15555
7,110.0,32,雨花,1,12909
3,38.75,16,雨花,0,10012
5,70.0,28,岳麓,1,12000
8,163,6,雨花,0,7730
8,130.0,32,天心,1,11907
8,144.0,11,雨花,0,9916
5,95.0,11,岳麓,0,8947
10,296.0,46,开福,1,19256
7,137.0,11,雨花,1,11313
7,137.0,17,长沙周边,0,6043
3,43.26,30,岳麓,1,10402
5,100.0,8,开福,0,7680
7,138.0,11,雨花,1,11304
5,90.0,30,天心,1,12777
8,166.0,21,雨花,1,7530
5,90.0,17,岳麓,0,13333
5,58.0,6,雨花,0,8275
3,38.27,30,望城,0,6793
5,62.0,6,雨花,0,8064
7,117.0,18,雨花,0,8547
8,203.0,7,雨花,0,7142
6,90.0,28,岳麓,1,8888
7,135.0,32,雨花,1,14814
7,133.06,13,雨花,1,9770
5,96.0,19,开福,0,11041
6,91.0,9,天心,0,7582
6,90.34,9,天心,0,7527
7,122.0,31,开福,0,10819
7,112.0,32,长沙周边,0,7839
5,96.0,18,开福,0,11666
3,41.0,29,开福,1,13292
6,90.0,7,雨花,0,6888
8,166.0,7,望城,0,4024
7,128,28,岳麓,1,9687
8,146.0,6,天心,1,7671
7,115.0,6,雨花,0,8347
5,81,26,长沙周边,0,9481
6,92.0,45,岳麓,1,14673
8,167.0,16,长沙周边,0,5497
7,128.0,17,雨花,0,10156
5,94.0,45,开福,1,16489
8,153.0,7,开福,1,6457
5,84.0,33,开福,1,9642
13,252.0,8,开福,0,7539
8,156.0,33,开福,1,10384
8,152.0,12,芙蓉,0,11052
7,95.0,33,雨花,0,12421
5,110.0,30,开福,0,10727
5,90.0,29,雨花,0,8888
5,90.0,20,雨花,1,10311
7,131.0,30,雨花,1,12213
7,117.0,33,岳麓,0,17521
5,92.0,22,岳麓,0,14673
6,100.0,16,开福,1,10500
7,89.0,32,雨花,0,12359
7,101.0,17,长沙周边,0,6811
7,132.0,13,长沙周边,0,5515
8,158.0,18,雨花,1,11075
7,146.0,12,芙蓉,0,12054
5,93.0,7,雨花,0,7827
8,118.0,7,雨花,0,7627
3,50.0,22,芙蓉,0,13800
5,94.0,12,岳麓,0,10957
6,99.0,33,雨花,1,11919
7,112.0,32,岳麓,0,11160
4,50.0,8,雨花,0,8760
5,47.0,7,雨花,0,9319
4,70.0,15,天心,1,10714
5,65.0,7,天心,1,9661
4,64.3,8,雨花,1,6687
4,50.5,33,雨花,0,13069
7,86.0,6,雨花,1,11511
6,78.0,8,雨花,1,13076
8,133.47,7,雨花,1,6653
5,86.0,7,雨花,0,6511
4,51.6,32,岳麓,0,15503
7,166.0,33,开福,1,13855
5,86.0,32,星沙,0,6976
5,75.0,30,芙蓉,1,10400
3,49.0,30,雨花,0,9755
6,74.0,6,星沙,0,8918
7,145.0,18,天心,0,11717
5,88.0,26,雨花,0,10227
6,90.0,32,雨花,1,12333
5,91.0,18,长沙周边,0,7142
8,157.26,9,雨花,1,8648
7,118.41,18,星沙,0,8951
7,127,18,岳麓,0,10535
5,89.0,24,雨花,1,10000
6,96.0,33,岳麓,0,10416
5,72.0,22,长沙周边,0,4972
6,119.0,16,长沙周边,0,6201
7,107.0,33,芙蓉,1,11214
6,89.0,32,雨花,0,9550
5,72.0,30,芙蓉,1,9305
5,88.0,28,开福,0,13295
7,133.0,31,星沙,0,7067
8,156,32,星沙,0,9794
5,77.0,7,星沙,0,5688
6,140,15,雨花,1,13214
7,129.0,18,雨花,0,10077
6,93.0,18,天心,0,5161
6,89,33,星沙,0,8179
7,135.0,32,开福,0,14814
7,125.0,7,雨花,0,7984
7,119.75,16,天心,1,10688
10,177.0,4,雨花,0,7062
7,117.0,18,星沙,0,11111
7,128.0,18,开福,0,10546
7,130.0,20,雨花,0,9230
6,83.0,33,雨花,0,12650
3,46.0,18,雨花,0,7608
6,91,35,开福,0,8131
5,83.15,7,天心,1,9380
8,182.0,9,雨花,0,8131
7,126.0,18,雨花,1,11904
7,119.0,33,开福,1,11092
7,168.0,33,开福,1,11607
5,77.0,17,长沙周边,0,5688
6,89.0,32,雨花,0,11235
7,91.0,30,雨花,0,12307
5,89.0,11,开福,0,11573
7,116.3,18,星沙,0,8082
4,56.11,30,岳麓,0,11762
7,150,33,星沙,0,8666
7,137.0,11,雨花,1,10583
7,130.0,18,雨花,1,11076
5,89.0,26,雨花,0,11235
4,76.0,6,雨花,0,6052
7,128.0,24,星沙,0,6015
8,171.0,28,芙蓉,1,10643
5,86.0,15,天心,0,7674
6,103.0,32,星沙,0,9223
3,38.0,29,望城,0,7105
5,81.0,32,雨花,0,10864
7,133.0,33,开福,1,11804
5,77.44,32,芙蓉,0,9271
5,88,18,岳麓,1,11136
6,87.0,15,天心,0,13218
7,124.0,15,雨花,0,9838
7,110.0,18,雨花,0,10181
8,151.0,23,雨花,1,11854
7,128.0,18,岳麓,1,11328
7,128.0,12,芙蓉,1,10156
7,119.0,31,芙蓉,1,10084
10,332.0,3,雨花,1,18945
7,99,18,星沙,0,9373
7,88.0,33,雨花,0,13409
7,122.04,6,岳麓,0,9570
7,125.0,18,雨花,0,12400
3,35.0,25,天心,1,10857
8,180.0,28,天心,1,9333
5,88.0,6,雨花,0,7500
7,160.0,18,雨花,1,12500
6,97.0,7,开福,1,10206
8,161.0,16,岳麓,0,12111
7,90.0,21,雨花,1,12000
5,82.0,6,星沙,0,9146
7,123.0,21,岳麓,1,9495
6,91.0,33,雨花,1,12967
7,156.0,33,雨花,1,11410
5,91.0,18,天心,0,6373
5,70.0,7,芙蓉,0,7685
11,425.0,1,天心,0,13411
6,113.0,17,雨花,0,9380
7,128.0,18,开福,1,10000
5,71.5,6,开福,1,9510
5,86.0,28,天心,1,10697
10,270.0,3,岳麓,0,12592
5,85.0,30,雨花,0,10352
6,120.0,7,芙蓉,1,8166
3,49,26,岳麓,0,7755
8,145.0,17,雨花,0,8689
4,58.0,32,星沙,0,7241
7,142.0,32,岳麓,0,6690
12,334.0,4,岳麓,0,7634
7,100.0,7,开福,1,12800
16,540.0,5,岳麓,0,16666
6,94,33,岳麓,0,10638
5,90,7,芙蓉,1,7000
7,138,18,雨花,1,12681
7,118.0,18,长沙周边,0,7525
8,163.0,18,雨花,1,9509
