,team_name,game_time,game_rst,host_guest,rival,shot_rate,rebounds,assists,scores,season,game_time1,days
0,洛杉矶湖人,1985-10-26,胜,客,马刺116-121湖人,49.5%,53,30,121,1985,1985-10-25,1
1,洛杉矶湖人,1985-10-29,胜,客,小牛115-133湖人,57.4%,60,35,133,1985,1985-10-26,3
2,洛杉矶湖人,1985-10-31,胜,客,太阳107-144湖人,59.1%,50,42,144,1985,1985-10-29,2
3,洛杉矶湖人,1985-11-02,胜,客,勇士116-120湖人,58.3%,36,25,120,1985,1985-10-31,2
4,洛杉矶湖人,1985-11-05,负,主,骑士129-111湖人,42.2%,43,26,111,1985,1985-11-02,3
5,洛杉矶湖人,1985-11-07,胜,客,爵士106-116湖人,52.7%,42,24,116,1985,1985-11-05,2
6,洛杉矶湖人,1985-11-08,胜,主,掘金99-128湖人,55.2%,57,44,128,1985,1985-11-07,1
7,洛杉矶湖人,1985-11-12,胜,主,爵士110-119湖人,50.0%,35,22,119,1985,1985-11-08,4
8,洛杉矶湖人,1985-11-14,胜,主,开拓者102-114湖人,44.8%,48,27,114,1985,1985-11-12,2
9,洛杉矶湖人,1985-11-15,胜,客,快船96-127湖人,55.4%,53,40,127,1985,1985-11-14,1
10,洛杉矶湖人,1985-11-17,胜,主,篮网119-138湖人,60.0%,41,38,138,1985,1985-11-15,2
11,洛杉矶湖人,1985-11-20,胜,主,快船107-122湖人,53.5%,48,39,122,1985,1985-11-17,3
12,洛杉矶湖人,1985-11-21,负,客,掘金121-120湖人,54.6%,51,33,120,1985,1985-11-20,1
13,洛杉矶湖人,1985-11-23,胜,客,开拓者113-130湖人,57.6%,46,30,130,1985,1985-11-21,2
14,洛杉矶湖人,1985-11-24,胜,主,马刺102-118湖人,50.0%,48,27,118,1985,1985-11-23,1
15,洛杉矶湖人,1985-11-29,胜,主,超音速107-108湖人,52.4%,43,33,108,1985,1985-11-24,5
16,洛杉矶湖人,1985-12-01,胜,主,公牛113-117湖人,49.5%,47,35,117,1985,1985-11-29,2
17,洛杉矶湖人,1985-12-04,胜,客,爵士127-131湖人,44.7%,53,25,131,1985,1985-12-01,3
18,洛杉矶湖人,1985-12-06,胜,主,火箭112-120湖人,51.6%,49,28,120,1985,1985-12-04,2
19,洛杉矶湖人,1985-12-08,胜,主,小牛119-125湖人,56.9%,47,34,125,1985,1985-12-06,2
20,洛杉矶湖人,1985-12-12,胜,主,太阳102-127湖人,59.5%,42,37,127,1985,1985-12-08,4
21,洛杉矶湖人,1985-12-13,负,客,掘金124-120湖人,51.6%,43,20,120,1985,1985-12-12,1
22,洛杉矶湖人,1985-12-15,胜,主,活塞119-132湖人,55.4%,46,29,132,1985,1985-12-13,2
23,洛杉矶湖人,1985-12-17,胜,客,尼克斯99-105湖人,50.6%,45,24,105,1985,1985-12-15,2
24,洛杉矶湖人,1985-12-18,胜,客,雄鹿105-107湖人,53.8%,48,25,107,1985,1985-12-17,1
25,洛杉矶湖人,1985-12-20,胜,客,骑士116-128湖人,55.2%,52,27,128,1985,1985-12-18,2
26,洛杉矶湖人,1985-12-21,胜,客,子弹84-96湖人,45.7%,51,26,96,1985,1985-12-20,1
27,洛杉矶湖人,1985-12-26,负,客,马刺109-91湖人,43.0%,39,24,91,1985,1985-12-21,5
28,洛杉矶湖人,1985-12-28,胜,客,国王111-133湖人,64.0%,41,35,133,1985,1985-12-26,2
29,洛杉矶湖人,1985-12-29,负,主,勇士130-122湖人,55.3%,40,31,122,1985,1985-12-28,1
30,洛杉矶湖人,1986-01-03,胜,主,爵士101-110湖人,52.6%,39,23,110,1985,1985-12-29,5
31,洛杉矶湖人,1986-01-05,胜,主,子弹88-118湖人,52.0%,50,36,118,1985,1986-01-03,2
32,洛杉矶湖人,1986-01-08,胜,主,开拓者121-125湖人,46.9%,48,34,125,1985,1986-01-05,3
33,洛杉矶湖人,1986-01-10,胜,主,步行者102-124湖人,46.2%,54,32,124,1985,1986-01-08,2
34,洛杉矶湖人,1986-01-11,负,客,超音速105-99湖人,47.0%,39,23,99,1985,1986-01-10,1
35,洛杉矶湖人,1986-01-14,胜,主,太阳122-143湖人,60.6%,39,37,143,1985,1986-01-11,3
36,洛杉矶湖人,1986-01-16,胜,主,快船96-112湖人,45.7%,54,33,112,1985,1986-01-14,2
37,洛杉矶湖人,1986-01-19,负,客,活塞118-115湖人,54.7%,36,34,115,1985,1986-01-16,3
38,洛杉矶湖人,1986-01-20,胜,客,公牛118-133湖人,51.0%,42,28,133,1985,1986-01-19,1
39,洛杉矶湖人,1986-01-22,负,客,凯尔特110-95湖人,38.6%,50,17,95,1985,1986-01-20,2
40,洛杉矶湖人,1986-01-24,负,客,快船120-109湖人,50.0%,42,32,109,1985,1986-01-22,2
41,洛杉矶湖人,1986-01-25,负,主,掘金127-115湖人,48.9%,42,29,115,1985,1986-01-24,1
42,洛杉矶湖人,1986-01-28,胜,主,雄鹿115-125湖人,63.7%,32,33,125,1985,1986-01-25,3
43,洛杉矶湖人,1986-01-30,胜,客,开拓者94-118湖人,53.3%,51,31,118,1985,1986-01-28,2
44,洛杉矶湖人,1986-01-31,胜,主,76人100-134湖人,62.9%,31,33,134,1985,1986-01-30,1
45,洛杉矶湖人,1986-02-02,负,主,尼克斯103-96湖人,45.1%,41,24,96,1985,1986-01-31,2
46,洛杉矶湖人,1986-02-04,胜,主,小牛102-110湖人,51.1%,53,32,110,1985,1986-02-02,2
47,洛杉矶湖人,1986-02-06,胜,客,火箭95-117湖人,53.8%,57,33,117,1985,1986-02-04,2
48,洛杉矶湖人,1986-02-11,负,客,勇士137-113湖人,51.1%,43,19,113,1985,1986-02-06,5
49,洛杉矶湖人,1986-02-12,胜,客,太阳100-126湖人,53.3%,46,32,126,1985,1986-02-11,1
50,洛杉矶湖人,1986-02-14,胜,主,老鹰117-141湖人,58.6%,48,38,141,1985,1986-02-12,2
51,洛杉矶湖人,1986-02-16,负,主,凯尔特105-99湖人,43.6%,40,27,99,1985,1986-02-14,2
52,洛杉矶湖人,1986-02-19,胜,客,步行者81-90湖人,43.4%,50,26,90,1985,1986-02-16,3
53,洛杉矶湖人,1986-02-21,负,客,篮网121-106湖人,47.8%,38,18,106,1985,1986-02-19,2
54,洛杉矶湖人,1986-02-23,胜,客,76人111-117湖人,52.3%,41,29,117,1985,1986-02-21,2
55,洛杉矶湖人,1986-02-24,负,客,老鹰102-93湖人,42.0%,41,15,93,1985,1986-02-23,1
56,洛杉矶湖人,1986-02-26,胜,客,小牛116-119湖人,65.4%,36,28,119,1985,1986-02-24,2
57,洛杉矶湖人,1986-02-28,胜,主,太阳103-115湖人,50.6%,36,29,115,1985,1986-02-26,2
58,洛杉矶湖人,1986-03-01,负,客,太阳123-106湖人,42.2%,51,17,106,1985,1986-02-28,1
59,洛杉矶湖人,1986-03-03,胜,主,勇士117-127湖人,55.8%,44,36,127,1985,1986-03-01,2
60,洛杉矶湖人,1986-03-05,胜,主,爵士84-130湖人,62.7%,42,35,130,1985,1986-03-03,2
61,洛杉矶湖人,1986-03-06,胜,客,勇士111-112湖人,53.4%,45,28,112,1985,1986-03-05,1
62,洛杉矶湖人,1986-03-08,胜,主,国王121-122湖人,44.3%,50,32,122,1985,1986-03-06,2
63,洛杉矶湖人,1986-03-09,胜,客,超音速106-108湖人,61.6%,35,24,108,1985,1986-03-08,1
64,洛杉矶湖人,1986-03-11,胜,主,快船108-129湖人,55.4%,51,44,129,1985,1986-03-09,2
65,洛杉矶湖人,1986-03-13,胜,主,超音速92-105湖人,54.2%,43,31,105,1985,1986-03-11,2
66,洛杉矶湖人,1986-03-16,胜,主,火箭111-116湖人,58.9%,38,30,116,1985,1986-03-13,3
67,洛杉矶湖人,1986-03-18,胜,主,开拓者122-128湖人,57.3%,37,34,128,1985,1986-03-16,2
68,洛杉矶湖人,1986-03-19,负,客,快船115-114湖人,51.0%,35,34,114,1985,1986-03-18,1
69,洛杉矶湖人,1986-03-21,胜,客,马刺109-117湖人,48.4%,45,26,117,1985,1986-03-19,2
70,洛杉矶湖人,1986-03-22,胜,客,国王113-115湖人,55.8%,37,29,115,1985,1986-03-21,1
71,洛杉矶湖人,1986-03-24,胜,主,马刺102-124湖人,48.5%,54,33,124,1985,1986-03-22,2
72,洛杉矶湖人,1986-03-25,胜,客,掘金115-121湖人,58.1%,53,30,121,1985,1986-03-24,1
73,洛杉矶湖人,1986-03-29,负,客,超音速88-87湖人,43.8%,29,17,87,1985,1986-03-25,4
74,洛杉矶湖人,1986-03-30,胜,主,勇士117-124湖人,55.4%,41,35,124,1985,1986-03-29,1
75,洛杉矶湖人,1986-04-01,胜,主,超音速104-109湖人,46.7%,55,20,109,1985,1986-03-30,2
76,洛杉矶湖人,1986-04-03,胜,主,国王105-135湖人,58.8%,55,34,135,1985,1986-04-01,2
77,洛杉矶湖人,1986-04-06,负,客,火箭109-103湖人,49.4%,35,33,103,1985,1986-04-03,3
