visitteam,year,v_stars,hostteam,h_stars,game_time,hostscore,hc_rate,hc_offs,hc_chapions,hpre_gap,visitscore,vc_rate,vc_offs,vc_champions,vpre_gap,label,v_rates,h_rates
金州勇士,2016,4,休斯顿火箭,1,1,108,55.7,8,0,2,125,78.6,4,3,2,0,81.7,67.1
金州勇士,2016,4,休斯顿火箭,1,3,106,55.7,8,0,2,113,78.6,4,3,2,0,81.7,67.1
金州勇士,2016,4,多伦多猛龙,2,11,121,54.3,5,0,1,127,78.6,4,3,3,0,81.7,62.2
金州勇士,2016,4,波士顿凯尔特人,1,11,88,54.9,4,0,2,104,78.6,4,3,2,0,81.7,64.6
金州勇士,2016,4,波特兰开拓者,0,11,104,51.2,6,0,3,127,78.6,4,3,2,0,81.7,50.0
金州勇士,2016,4,波特兰开拓者,0,1,111,51.2,6,0,2,113,78.6,4,3,1,0,81.7,50.0
金州勇士,2016,4,费城76人,0,2,108,36.0,1,0,2,119,78.6,4,3,2,0,81.7,34.1
金州勇士,2016,4,俄克拉荷马雷霆,1,2,114,60.3,3,0,2,130,78.6,4,3,1,0,81.7,57.3
金州勇士,2016,4,俄克拉荷马雷霆,1,3,95,60.3,3,0,2,111,78.6,4,3,2,0,81.7,57.3
金州勇士,2016,4,印第安纳步行者,1,11,83,52.4,7,0,1,120,78.6,4,3,2,0,81.7,51.2
金州勇士,2016,4,犹他爵士,1,12,99,55.5,2,0,2,106,78.6,4,3,1,0,81.7,62.2
金州勇士,2016,4,密尔沃基雄鹿,1,11,121,49.1,3,0,2,124,78.6,4,3,1,0,81.7,51.2
金州勇士,2016,4,克里夫兰骑士,2,12,109,57.1,3,1,2,108,78.6,4,3,2,1,81.7,62.2
金州勇士,2016,4,圣安东尼奥马刺,1,3,107,68.4,21,5,2,85,78.6,4,3,1,1,81.7,74.4
金州勇士,2016,4,圣安东尼奥马刺,1,3,98,68.4,21,5,2,110,78.6,4,3,1,0,81.7,74.4
金州勇士,2016,4,迈阿密热火,0,1,105,59.1,8,2,2,102,78.6,4,3,1,1,81.7,50.0
金州勇士,2016,4,洛杉矶快船,1,12,98,57.6,14,1,3,115,78.6,4,3,2,0,81.7,62.2
金州勇士,2016,4,洛杉矶快船,1,2,120,57.6,14,1,1,133,78.6,4,3,1,0,81.7,62.2
金州勇士,2016,4,丹佛掘金,0,11,101,49.0,0,0,2,125,78.6,4,3,1,0,81.7,48.8
