rates,coach_offs,coach_rates,win-loss,host_guest,days,game_month,rival_rates,rival_coach_offs,rival_coach_rates,coach_campions,wins-loss,rival_id,racer,label
0.183,0,29.6,-52,1,2,11,0.256,10,47.7,0,-40,1,快船,0
0.183,0,29.6,-52,0,2,12,0.256,10,47.7,0,-40,1,快船,1
0.183,0,29.6,-52,1,2,2,0.256,10,47.7,0,-40,1,快船,1
0.183,0,29.6,-52,0,2,3,0.256,10,47.7,0,-40,1,快船,1
0.183,0,29.6,-52,0,1,11,0.256,18,54.8,1,-40,2,马刺,0
0.183,0,29.6,-52,1,1,11,0.256,18,54.8,1,-40,2,马刺,0
0.183,0,29.6,-52,1,3,12,0.256,18,54.8,1,-40,2,马刺,1
0.183,0,29.6,-52,0,4,1,0.256,18,54.8,1,-40,2,马刺,0
0.183,0,29.6,-52,1,3,3,0.256,18,54.8,1,-40,2,马刺,1
0.183,0,29.6,-52,0,2,4,0.256,18,54.8,1,-40,2,马刺,0
0.183,0,29.6,-52,1,2,11,0.5489999999999999,3,40.6,0,8,3,火箭,0
0.183,0,29.6,-52,0,2,11,0.5489999999999999,3,40.6,0,8,3,火箭,0
0.183,0,29.6,-52,1,1,12,0.5489999999999999,3,40.6,0,8,3,火箭,0
0.183,0,29.6,-52,0,1,1,0.5489999999999999,3,40.6,0,8,3,火箭,0
0.183,0,29.6,-52,1,2,4,0.5489999999999999,3,40.6,0,8,3,火箭,1
0.183,0,29.6,-52,0,3,4,0.5489999999999999,3,40.6,0,8,3,火箭,1
0.183,0,29.6,-52,1,4,11,0.512,2,41.8,0,2,4,凯尔特,0
0.183,0,29.6,-52,0,3,1,0.512,2,41.8,0,2,4,凯尔特,0
0.183,0,29.6,-52,1,1,11,0.524,18,55.7,0,4,5,勇士,0
0.183,0,29.6,-52,0,1,1,0.524,18,55.7,0,4,5,勇士,0
0.183,0,29.6,-52,1,1,1,0.524,18,55.7,0,4,5,勇士,0
0.183,0,29.6,-52,0,1,4,0.524,18,55.7,0,4,5,勇士,0
0.183,0,29.6,-52,1,5,11,0.695,21,63.6,5,32,6,湖人,0
0.183,0,29.6,-52,0,2,1,0.695,21,63.6,5,32,6,湖人,0
0.183,0,29.6,-52,1,3,3,0.695,21,63.6,5,32,6,湖人,0
0.183,0,29.6,-52,0,2,4,0.695,21,63.6,5,32,6,湖人,0
0.183,0,29.6,-52,0,3,11,0.598,11,54.9,1,16,7,雄鹿,0
0.183,0,29.6,-52,1,1,1,0.598,11,54.9,1,16,7,雄鹿,0
0.183,0,29.6,-52,0,1,11,0.695,20,53.6,1,32,8,骑士,0
