team_name,game_time,game_rst,host_guest,rival,shot_rate,rebounds,assists,scores
洛杉矶湖人,2018-10-18,负,客,开拓者128-119湖人,48.4%,46,23,119
洛杉矶湖人,2018-10-20,负,主,火箭124-115湖人,48.0%,44,28,115
洛杉矶湖人,2018-10-22,负,主,马刺143-142湖人,51.4%,52,33,142
洛杉矶湖人,2018-10-24,胜,客,太阳113-131湖人,52.0%,43,34,131
洛杉矶湖人,2018-10-25,胜,主,掘金114-121湖人,50.0%,42,27,121
洛杉矶湖人,2018-10-27,负,客,马刺110-106湖人,47.7%,42,19,106
洛杉矶湖人,2018-10-29,负,客,森林狼124-120湖人,47.1%,48,24,120
洛杉矶湖人,2018-10-31,胜,主,独行侠113-114湖人,51.2%,39,23,114
洛杉矶湖人,2018-11-03,胜,客,开拓者110-114湖人,52.3%,50,20,114
洛杉矶湖人,2018-11-04,负,主,猛龙121-107湖人,45.9%,38,25,107
洛杉矶湖人,2018-11-07,胜,主,森林狼110-114湖人,48.4%,47,32,114
洛杉矶湖人,2018-11-10,胜,客,国王86-101湖人,41.4%,59,23,101
洛杉矶湖人,2018-11-11,胜,主,老鹰106-107湖人,42.4%,48,28,107
洛杉矶湖人,2018-11-14,胜,主,开拓者117-126湖人,47.3%,48,25,126
洛杉矶湖人,2018-11-17,负,客,魔术130-117湖人,47.8%,41,22,117
洛杉矶湖人,2018-11-18,胜,客,热火97-113湖人,44.2%,50,16,113
洛杉矶湖人,2018-11-21,胜,客,骑士105-109湖人,51.3%,51,23,109
洛杉矶湖人,2018-11-23,胜,主,爵士83-90湖人,45.6%,47,10,90
洛杉矶湖人,2018-11-25,负,主,魔术108-104湖人,46.8%,42,22,104
洛杉矶湖人,2018-11-27,负,客,掘金117-85湖人,39.1%,39,19,85
洛杉矶湖人,2018-11-29,胜,主,步行者96-104湖人,48.8%,50,25,104
洛杉矶湖人,2018-11-30,胜,主,独行侠103-114湖人,48.8%,47,23,114
洛杉矶湖人,2018-12-02,胜,主,太阳96-120湖人,50.0%,56,26,120
洛杉矶湖人,2018-12-05,胜,主,马刺113-121湖人,47.7%,42,21,121
洛杉矶湖人,2018-12-07,负,客,马刺133-120湖人,46.0%,43,24,120
洛杉矶湖人,2018-12-08,胜,客,灰熊88-111湖人,43.9%,57,27,111
洛杉矶湖人,2018-12-10,胜,主,热火105-108湖人,45.6%,46,24,108
洛杉矶湖人,2018-12-13,负,客,火箭126-111湖人,53.8%,31,23,111
洛杉矶湖人,2018-12-15,胜,客,黄蜂100-128湖人,53.3%,52,34,128
洛杉矶湖人,2018-12-16,负,客,奇才128-110湖人,48.4%,43,24,110
洛杉矶湖人,2018-12-18,负,客,篮网115-110湖人,46.7%,48,21,110
洛杉矶湖人,2018-12-21,胜,主,鹈鹕104-112湖人,46.7%,48,28,112
洛杉矶湖人,2018-12-23,负,主,灰熊107-99湖人,49.3%,41,27,99
洛杉矶湖人,2018-12-25,胜,客,勇士101-127湖人,55.3%,49,27,127
洛杉矶湖人,2018-12-27,负,客,国王117-116湖人,51.1%,46,25,116
洛杉矶湖人,2018-12-28,负,主,快船118-107湖人,41.4%,50,23,107
洛杉矶湖人,2018-12-30,胜,主,国王114-121湖人,48.0%,50,30,121
洛杉矶湖人,2019-01-02,负,主,雷霆107-100湖人,41.6%,54,24,100
洛杉矶湖人,2019-01-04,负,主,尼克斯119-112湖人,43.9%,55,23,112
洛杉矶湖人,2019-01-06,负,客,森林狼108-86湖人,36.8%,48,20,86
洛杉矶湖人,2019-01-07,胜,客,独行侠97-107湖人,43.6%,44,28,107
洛杉矶湖人,2019-01-09,胜,主,活塞100-113湖人,56.1%,47,30,113
洛杉矶湖人,2019-01-11,负,客,爵士113-95湖人,35.9%,55,14,95
洛杉矶湖人,2019-01-13,负,主,骑士101-95湖人,39.6%,51,21,95
洛杉矶湖人,2019-01-15,胜,主,公牛100-107湖人,46.3%,51,21,107
洛杉矶湖人,2019-01-17,胜,客,雷霆128-138湖人,50.5%,63,37,138
洛杉矶湖人,2019-01-19,负,客,火箭138-134湖人,52.1%,56,27,134
洛杉矶湖人,2019-01-21,负,主,勇士130-111湖人,50.0%,42,20,111
洛杉矶湖人,2019-01-24,负,主,森林狼120-105湖人,50.6%,39,28,105
洛杉矶湖人,2019-01-27,胜,主,太阳102-116湖人,52.8%,41,28,116
洛杉矶湖人,2019-01-29,负,主, 76人121-105湖人,47.3%,49,26,105
洛杉矶湖人,2019-01-31,胜,客,快船120-123湖人,45.7%,56,28,123
洛杉矶湖人,2019-02-02,负,客,勇士115-101湖人,43.8%,49,23,101
洛杉矶湖人,2019-02-05,负,客,步行者136-94湖人,46.7%,34,25,94
洛杉矶湖人,2019-02-07,胜,客,凯尔特128-129湖人,51.5%,43,35,129
洛杉矶湖人,2019-02-10,负,客, 76人143-120湖人,51.6%,43,31,120
洛杉矶湖人,2019-02-12,负,客,老鹰117-113湖人,43.2%,44,25,113
洛杉矶湖人,2019-02-21,胜,主,火箭106-111湖人,44.7%,49,22,111
洛杉矶湖人,2019-02-23,负,客,鹈鹕128-115湖人,54.3%,39,33,115
洛杉矶湖人,2019-02-25,负,客,灰熊110-105湖人,44.9%,46,25,105
洛杉矶湖人,2019-02-27,胜,主,鹈鹕119-125湖人,52.1%,39,37,125
洛杉矶湖人,2019-03-01,负,主,雄鹿131-120湖人,47.9%,40,29,120
洛杉矶湖人,2019-03-02,负,客,太阳118-109湖人,48.3%,40,27,109
洛杉矶湖人,2019-03-04,负,主,快船113-105湖人,41.8%,40,22,105
洛杉矶湖人,2019-03-06,负,主,掘金115-99湖人,47.6%,41,26,99
洛杉矶湖人,2019-03-09,负,主,凯尔特120-107湖人,48.4%,43,28,107
洛杉矶湖人,2019-03-12,胜,客,公牛107-123湖人,54.7%,41,23,123
洛杉矶湖人,2019-03-14,负,客,猛龙111-98湖人,44.7%,46,24,98
洛杉矶湖人,2019-03-15,负,客,活塞111-97湖人,41.9%,47,24,97
洛杉矶湖人,2019-03-17,负,客,尼克斯124-123湖人,48.5%,35,26,123
洛杉矶湖人,2019-03-19,负,客,雄鹿115-101湖人,38.4%,42,20,101
洛杉矶湖人,2019-03-22,负,主,篮网111-106湖人,38.5%,59,21,106
洛杉矶湖人,2019-03-24,胜,主,国王106-111湖人,45.9%,56,29,111
洛杉矶湖人,2019-03-26,胜,主,奇才106-124湖人,53.9%,52,37,124
洛杉矶湖人,2019-03-27,负,客,爵士115-100湖人,38.1%,40,21,100
洛杉矶湖人,2019-03-29,胜,主,黄蜂115-129湖人,56.0%,44,34,129
洛杉矶湖人,2019-03-31,胜,客,鹈鹕102-130湖人,47.5%,46,30,130
洛杉矶湖人,2019-04-02,负,客,雷霆119-103湖人,47.6%,39,26,103
洛杉矶湖人,2019-04-04,负,主,勇士108-90湖人,35.6%,62,25,90
洛杉矶湖人,2019-04-05,胜,客,快船117-122湖人,44.8%,55,28,122
洛杉矶湖人,2019-04-07,胜,主,爵士109-113湖人,51.7%,49,28,113
洛杉矶湖人,2019-04-09,负,主,开拓者104-101湖人,42.6%,51,29,101
