game_time,hostteam,hostscore,hc_rate,hc_offs,hc_chapions,hpre_gap,visitteam,visitscore,vc_rate,vc_offs,vc_champions,vpre_gap
2016-10-25,波特兰开拓者,113,51.2,6,0,1,犹他爵士,104,55.5,2,0,1
2016-10-25,克里夫兰骑士,117,57.1,3,1,1,纽约尼克斯,88,42.7,0,0,1
2016-10-25,金州勇士,100,78.6,4,3,1,圣安东尼奥马刺,129,68.4,21,5,1
2016-10-26,奥兰多魔术,96,51.1,5,0,1,迈阿密热火,108,59.1,8,2,1
2016-10-26,波士顿凯尔特人,122,54.9,4,0,1,布鲁克林篮网,117,35.8,0,0,1
2016-10-26,多伦多猛龙,109,54.3,5,0,1,底特律活塞,91,57.7,8,0,1
2016-10-26,密尔沃基雄鹿,96,49.1,3,0,1,夏洛特黄蜂,107,48.2,2,0,1
2016-10-26,孟菲斯灰熊,102,36.1,1,0,1,明尼苏达森林狼,98,57.9,6,0,1
2016-10-26,费城76人,97,36.0,1,0,1,俄克拉荷马雷霆,103,60.3,3,0,1
2016-10-26,新奥尔良鹈鹕,102,46.5,3,0,1,丹佛掘金,107,49.0,0,0,1
2016-10-26,菲尼克斯太阳,94,28.0,0,0,1,萨克拉门托国王,113,50.0,3,0,1
2016-10-26,洛杉矶湖人,120,39.8,0,0,1,休斯顿火箭,114,55.7,8,0,1
2016-10-27,芝加哥公牛,105,42.6,1,0,1,波士顿凯尔特人,99,54.9,4,0,1
2016-10-27,萨克拉门托国王,94,50.0,3,0,1,圣安东尼奥马刺,102,68.4,21,5,2
2016-10-27,波特兰开拓者,106,51.2,6,0,2,洛杉矶快船,114,57.6,14,1,1
2016-10-28,多伦多猛龙,91,54.3,5,0,2,克里夫兰骑士,94,57.1,3,1,3
2016-10-28,布鲁克林篮网,103,35.8,0,0,2,印第安纳步行者,94,52.4,7,0,2
2016-10-28,底特律活塞,108,57.7,8,0,2,奥兰多魔术,82,51.1,5,0,2
2016-10-28,迈阿密热火,91,59.1,8,2,2,夏洛特黄蜂,97,48.2,2,0,2
2016-10-28,俄克拉荷马雷霆,113,60.3,3,0,2,菲尼克斯太阳,110,28.0,0,0,2
2016-10-28,犹他爵士,96,55.5,2,0,3,洛杉矶湖人,89,39.8,0,0,2
