hosteam_id,h_rates,hc_rate,h_stars,visitteam_id,v_rates,vc_rate,v_stars,gaps,label
2,67.1,55.7,1,1,81.7,78.6,4,0,0
2,67.1,55.7,1,1,81.7,78.6,4,0,0
3,62.2,54.3,2,1,81.7,78.6,4,-2,0
4,64.6,54.9,1,1,81.7,78.6,4,0,0
5,50.0,51.2,0,1,81.7,78.6,4,1,0
5,50.0,51.2,0,1,81.7,78.6,4,1,0
6,34.1,36.0,0,1,81.7,78.6,4,0,0
7,57.3,60.3,1,1,81.7,78.6,4,1,0
7,57.3,60.3,1,1,81.7,78.6,4,0,0
8,51.2,52.4,1,1,81.7,78.6,4,-1,0
9,62.2,55.5,1,1,81.7,78.6,4,1,0
10,51.2,49.1,1,1,81.7,78.6,4,1,0
11,62.2,57.1,2,1,81.7,78.6,4,0,1
12,74.4,68.4,1,1,81.7,78.6,4,1,1
12,74.4,68.4,1,1,81.7,78.6,4,1,0
13,50.0,59.1,0,1,81.7,78.6,4,1,1
14,62.2,57.6,1,1,81.7,78.6,4,1,0
14,62.2,57.6,1,1,81.7,78.6,4,0,0
15,48.8,49.0,0,1,81.7,78.6,4,1,0
15,48.8,49.0,0,1,81.7,78.6,4,0,1
16,41.5,46.5,2,1,81.7,78.6,4,-1,0
16,41.5,46.5,2,1,81.7,78.6,4,0,0
17,37.8,57.9,0,1,81.7,78.6,4,1,0
17,37.8,57.9,0,1,81.7,78.6,4,0,1
18,31.7,39.8,0,1,81.7,78.6,4,1,1
18,31.7,39.8,0,1,81.7,78.6,4,0,0
19,40.2,54.5,0,1,81.7,78.6,4,1,0
20,52.4,36.1,1,1,81.7,78.6,4,0,1
20,52.4,36.1,1,1,81.7,78.6,4,0,0
21,50.0,42.6,1,1,81.7,78.6,4,0,1
22,45.1,57.7,0,1,81.7,78.6,4,1,0
23,43.9,48.2,1,1,81.7,78.6,4,0,0
24,59.8,58.6,1,1,81.7,78.6,4,1,1
25,35.4,51.1,0,1,81.7,78.6,4,0,0
26,24.4,35.8,0,1,81.7,78.6,4,0,0
27,39.0,50.0,0,1,81.7,78.6,4,0,0
27,39.0,50.0,0,1,81.7,78.6,4,-1,1
28,52.4,55.6,1,1,81.7,78.6,4,0,0
29,37.8,42.7,1,1,81.7,78.6,4,-1,0
30,29.3,28.0,0,1,81.7,78.6,4,0,0
30,29.3,28.0,0,1,81.7,78.6,4,2,0
1,81.7,78.6,4,2,67.1,55.7,1,1,0
1,81.7,78.6,4,2,67.1,55.7,1,1,1
3,62.2,54.3,2,2,67.1,55.7,1,-1,0
4,64.6,54.9,1,2,67.1,55.7,1,-1,1
5,50.0,51.2,0,2,67.1,55.7,1,0,0
5,50.0,51.2,0,2,67.1,55.7,1,0,1
6,34.1,36.0,0,2,67.1,55.7,1,0,0
7,57.3,60.3,1,2,67.1,55.7,1,0,1
7,57.3,60.3,1,2,67.1,55.7,1,2,0
8,51.2,52.4,1,2,67.1,55.7,1,0,1
9,62.2,55.5,1,2,67.1,55.7,1,-1,1
10,51.2,49.1,1,2,67.1,55.7,1,0,1
11,62.2,57.1,2,2,67.1,55.7,1,1,1
12,74.4,68.4,1,2,67.1,55.7,1,2,0
12,74.4,68.4,1,2,67.1,55.7,1,0,1
13,50.0,59.1,0,2,67.1,55.7,1,2,1
14,62.2,57.6,1,2,67.1,55.7,1,1,0
14,62.2,57.6,1,2,67.1,55.7,1,1,1
15,48.8,49.0,0,2,67.1,55.7,1,1,0
15,48.8,49.0,0,2,67.1,55.7,1,1,0
16,41.5,46.5,2,2,67.1,55.7,1,0,0
16,41.5,46.5,2,2,67.1,55.7,1,0,1
17,37.8,57.9,0,2,67.1,55.7,1,3,0
17,37.8,57.9,0,2,67.1,55.7,1,1,1
18,31.7,39.8,0,2,67.1,55.7,1,0,1
19,40.2,54.5,0,2,67.1,55.7,1,0,0
19,40.2,54.5,0,2,67.1,55.7,1,0,0
20,52.4,36.1,1,2,67.1,55.7,1,0,1
20,52.4,36.1,1,2,67.1,55.7,1,0,0
21,50.0,42.6,1,2,67.1,55.7,1,0,0
