player_name,season,race_rst,rival,rate_shot,rebounds,assists,steals,caps,scores
勒布朗-詹姆斯,03-04,负,国王106-92骑士,60.0%,6,9,4,0,25
勒布朗-詹姆斯,03-04,负,太阳95-86骑士,47.1%,12,8,1,0,21
勒布朗-詹姆斯,03-04,负,开拓者104-85骑士,25.0%,4,6,2,0,8
勒布朗-詹姆斯,03-04,负,掘金93-89骑士,27.3%,11,7,2,3,7
勒布朗-詹姆斯,03-04,负,步行者91-90骑士,44.4%,5,3,0,0,23
勒布朗-詹姆斯,03-04,胜,奇才98-111骑士,42.1%,8,9,1,1,17
勒布朗-詹姆斯,03-04,胜,尼克斯80-94骑士,58.3%,5,4,1,1,17
勒布朗-詹姆斯,03-04,负,热火88-83骑士,40.0%,3,7,2,1,18
勒布朗-詹姆斯,03-04,负,凯尔特91-82骑士,25.0%,5,3,0,0,10
勒布朗-詹姆斯,03-04,胜,76人88-91骑士,52.6%,5,8,1,2,22
勒布朗-詹姆斯,03-04,胜,快船95-103骑士,37.5%,7,8,0,1,14
勒布朗-詹姆斯,03-04,负,奇才106-95骑士,55.6%,7,8,2,1,28
勒布朗-詹姆斯,03-04,负,森林狼97-83骑士,42.1%,9,2,1,0,19
勒布朗-詹姆斯,03-04,负,老鹰92-83骑士,18.8%,6,4,2,1,15
勒布朗-詹姆斯,03-04,负,黄蜂82-72骑士,29.4%,8,9,0,0,15
勒布朗-詹姆斯,03-04,负,活塞92-88骑士,25.0%,2,7,0,0,6
勒布朗-詹姆斯,03-04,负,灰熊122-115骑士,50.0%,16,7,1,1,33
勒布朗-詹姆斯,03-04,负,掘金115-103骑士,31.6%,6,5,2,0,19
勒布朗-詹姆斯,03-04,负,快船90-80骑士,15.4%,6,8,2,0,4
勒布朗-詹姆斯,03-04,胜,老鹰85-95骑士,33.3%,6,5,2,1,8
勒布朗-詹姆斯,03-04,负,猛龙100-93骑士,43.8%,5,3,1,0,18
勒布朗-詹姆斯,03-04,胜,活塞86-95骑士,38.1%,3,9,1,1,23
勒布朗-詹姆斯,03-04,负,凯尔特105-98骑士,50.0%,3,4,0,0,37
勒布朗-詹姆斯,03-04,负,步行者95-85骑士,62.5%,4,6,3,3,27
勒布朗-詹姆斯,03-04,负,火箭89-85骑士,36.8%,1,3,0,0,17
勒布朗-詹姆斯,03-04,胜,76人81-88骑士,58.3%,4,5,4,0,36
勒布朗-詹姆斯,03-04,胜,公牛87-95骑士,50.0%,6,10,2,2,32
勒布朗-詹姆斯,03-04,胜,黄蜂86-97骑士,31.8%,6,2,6,1,22
勒布朗-詹姆斯,03-04,负,魔术113-101骑士,46.4%,2,6,2,1,34
勒布朗-詹姆斯,03-04,负,公牛87-80骑士,29.2%,3,4,1,2,18
勒布朗-詹姆斯,03-04,胜,开拓者74-86骑士,65.2%,10,9,3,0,32
勒布朗-詹姆斯,03-04,负,步行者92-89骑士,45.0%,10,4,0,0,22
勒布朗-詹姆斯,03-04,负,篮网97-82骑士,31.6%,4,9,1,0,14
勒布朗-詹姆斯,03-04,胜,尼克斯96-107骑士,35.3%,4,10,1,1,14
勒布朗-詹姆斯,03-04,负,猛龙75-69骑士,43.5%,2,5,0,0,21
勒布朗-詹姆斯,03-04,负,凯尔特107-82骑士,36.8%,3,6,3,0,19
勒布朗-詹姆斯,03-04,负,湖人89-79骑士,30.0%,5,7,1,1,16
勒布朗-詹姆斯,03-04,胜,超音速96-104骑士,42.3%,9,9,2,0,27
勒布朗-詹姆斯,03-04,负,勇士119-102骑士,38.1%,6,6,3,0,29
勒布朗-詹姆斯,03-04,胜,爵士96-102骑士,42.9%,7,2,2,1,29
勒布朗-詹姆斯,03-04,胜,魔术98-99骑士,36.8%,5,3,0,2,16
勒布朗-詹姆斯,03-04,胜,热火93-94骑士,40.0%,5,4,2,1,27
